	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	label
44	0.208159998	0.19885000600000002	0.5901299720000001	0.00063	0.205589995	0.0006	0.0005099999999999999	0.00037999999999999997	0.00037999999999999997	0.0033799999999999998	0.0113	0.012329999999999999	0.0008300000000000001	0.00031	0
45	0.623149991	0.230759993	0.015830001	0.128539994	0.00101	0.6173700089999999	0.00066	0.0004	0.11451999800000001	0.130579993	0.0075	0.00313	0.007359999999999999	0.02238	1
46	0.568799973	0.26908999699999997	0.00678	0.0030399999999999997	0.441509992	0.00016999999999999999	0.00823	0.00834	0.00282	1e-05	0.0003	0.06684	0.01595	0.01139	0
47	0.451900005	0.42519998600000003	0.075499997	0.045400000999999995	0.423900008	0.0007	0.0252	0.018999999	0.0416	0.0011	0.0128	0.023600001000000002	0.0076	0.044399999	1
48	0.35249999200000004	0.42939999700000003	0.081299998	0.133399993	0.296999991	0.0043	0.0039	0.0034	0.109399997	0.001	0.0123	0.0134	0.0095	0.191499993	0
49	0.769169986	0.171859995	0.0524	0.00364	0.758140028	0.00185	0.00055	0.004370000000000001	0.0035	5.9999999999999995e-05	0.00025	0.00027	0.0052	0.0017100000000000001	0
50	0.462500006	0.071099997	0.45809999100000004	0.0013	0.38960000899999997	0.0006	0.0002	0.0042	0.0004	0.0002	0.0	0.0003	0.0034	0.0002	0
51	0.533599973	0.32249999	0.113499999	0.024700001	0.43990001100000004	0.076099999	0.0124	0.0066	0.0229	0.0006	0.028899999	0.0232	0.0005	0.0	0
52	0.413810015	0.318670005	0.244159997	0.007690000000000001	0.37450999	0.00426	0.00143	0.00147	0.00588	0.01042	0.025450001	0.00122	0.022159999	0.00031	0
53	0.16074000300000002	0.225600004	0.583169997	0.009859999999999999	0.055769999	0.088359997	0.01431	0.00249	0.00792	0.00036	0.00044	0.02671	0.00126	0.010920000000000001	1
54	0.352770001	0.175750002	0.44571998700000004	0.011559999999999999	0.297340006	0.0009	0.00141	0.009559999999999999	0.00998	0.00078	0.00022999999999999998	0.02949	0.00101	0.00557	0
55	0.238700002	0.714699984	0.034400001	0.003	0.12540000699999998	0.02	0.0035	0.0188	0.0011	0.0015	0.0019	0.0089	0.0995	0.0018	0
56	0.43070000399999997	0.36269998600000003	0.1285	0.072700001	0.292899996	0.0009	0.0093	0.0032	0.038199998	0.0008	0.0015	0.038800001	0.027799999	0.0198	0
57	0.347380012	0.20907999600000002	0.257209986	0.012329999999999999	0.30581000399999997	0.00541	0.00064	0.00067	0.01093	0.00062	0.00364	0.00317	0.017209999	0.00022	0
58	0.311320007	0.599030018	0.040739998	0.035360001	0.086199999	0.125799999	0.092479996	0.017379999	0.033270001	0.00168	0.00108	0.12131000300000001	0.00413	0.01018	1
59	0.268920004	0.38855999700000005	0.338759989	0.0019199999999999998	0.21989999699999999	0.026889999999999997	0.068230003	0.0096	0.00176	0.0002	0.00065	0.04665	0.00421	0.00572	0
60	0.323929995	0.659169972	0.01354	0.00187	0.241870001	0.025710000000000004	0.180570006	0.0124	5e-05	0.00026000000000000003	0.00557	0.058370002000000004	0.021419999999999998	0.009559999999999999	0
61	0.019640001	0.18524000000000002	0.728190005	0.028030001000000002	0.00772	0.00462	0.00079	0.00116	0.010329999999999999	0.00085	0.037749998	0.00772	0.00055	0.00079	0
62	0.109279998	0.11773999800000001	0.76275003	0.0021100000000000003	0.10447000000000001	0.00302	0.0015400000000000001	0.00106	0.0009699999999999999	0.00098	0.00122	0.00352	0.00386	0.00619	0
63	0.054699998	0.672999978	0.204500005	0.0045	0.0178	0.0197	0.049199997999999995	0.015900001	0.0002	0.0001	0.0006	0.1017	0.0086	0.022500001000000002	0
64	0.381500006	0.179900005	0.171200007	0.002	0.331800014	0.005	0.015799999	0.025699998999999998	0.0016	0.0	0.0018	0.0001	0.0051	0.0164	0
65	0.47369998700000004	0.459600002	0.043400000999999994	0.018999999	0.328999996	0.0006	0.034899998	0.0081	0.0166	0.0003	0.0002	0.0942	0.0013	0.0089	1
66	0.390080005	0.389189988	0.04862	0.00575	0.25898000600000004	0.042890001	0.00792	0.02572	0.00037999999999999997	0.0009400000000000001	0.00088	0.016729999	0.0061	0.00062	0
67	0.385030001	0.187879995	0.388419986	0.00511	0.37035998700000006	0.0004	0.00063	2.9999999999999997e-05	0.0009699999999999999	0.0005	0.01086	0.00022	0.055020001	8e-05	0
68	0.203710005	0.649879992	0.126350001	0.00509	0.08342999999999999	0.0065	0.012790000000000001	0.03059	0.0008900000000000001	0.00518	0.01341	0.00447	0.0048200000000000005	0.00271	0
69	0.16764000099999998	0.266629994	0.530319989	0.00414	0.072400004	0.00281	0.03438	0.012240000000000001	0.0016899999999999999	0.00122	0.01053	0.00548	0.0016699999999999998	0.019180000000000003	0
70	0.037239998999999996	0.01047	0.94976002	0.0023	0.036809998999999996	0.0001	0.00021	0.00013000000000000002	0.00212	0.00016999999999999999	5.9999999999999995e-05	0.00206	0.00067	0.00253	0
71	0.40917000200000003	0.33882999399999997	0.233400002	0.00535	0.117129996	0.00203	0.0265	0.01027	0.00411	0.00018	0.00151	0.042589999999999996	0.0027600000000000003	0.0028	0
72	0.5898900029999999	0.279119998	0.09618999800000001	0.033679999	0.5526599879999999	0.00049	0.0008	0.00275	0.018510001	0.00018	0.00075	0.035859998	0.01379	0.00636	1
73	0.6140099760000001	0.255490005	0.017859998999999998	0.08790999699999999	0.251370013	0.105769999	0.00412	0.01099	0.076920003	0.0	0.0	0.027469999999999998	0.00962	0.00687	0
74	0.427179992	0.536239982	0.022679999	0.00974	0.40395999	0.00022999999999999998	0.034400001	0.00197	0.00687	0.00011	0.0007	0.040520001	0.0036299999999999995	0.01295	0
75	0.617699981	0.150279999	0.203449994	0.00935	0.544990003	0.00119	0.017130001000000002	0.0037600000000000003	0.0037799999999999995	2.9999999999999997e-05	0.00123	0.00943	0.00545	0.0016	0
76	0.00091	0.183400005	0.7911300059999999	0.01881	0.00041	0.00027	0.00011999999999999999	0.0	0.01366	0.00079	0.01273	0.0003	5e-05	0.00018999999999999998	0
77	0.29253	0.37380999299999995	0.32475999	0.00033999999999999997	0.24079999300000002	0.00026000000000000003	0.01213	0.0031	0.0	5e-05	0.0002	0.05417999999999999	0.00554	0.021730000000000003	1
78	0.290380001	0.674279988	0.02299	0.004070000000000001	0.21470999699999999	0.00058	0.069229998	0.01522	0.00242	0.00026000000000000003	0.00036	0.088780001	0.00159	0.01011	0
79	0.263669997	0.11811000099999999	0.614960015	0.0006900000000000001	0.197349995	0.00022999999999999998	0.0017699999999999999	0.0037	0.00011999999999999999	0.00172	0.0010199999999999999	0.0077599999999999995	0.01152	7e-05	0
80	0.19021	0.549839973	0.181830004	0.074709997	0.16416999699999998	0.00075	0.01439	0.00507	0.07415000299999999	0.00256	0.01054	0.252640009	0.0016	0.00293	1
81	0.142120004	0.6148300170000001	0.16787	0.039129999	0.049430002	0.055610001	0.00515	0.00618	0.007209999999999999	0.00927	0.08754000099999999	0.032960001	0.00412	0.00412	0
82	0.319429994	0.632529974	0.039700001	0.00487	0.12139000000000001	0.151529998	0.00842	0.00717	0.00176	0.00434	0.0019	0.157000005	0.00216	0.01281	1
83	0.367460012	0.441049993	0.10620000199999999	0.01969	0.154469997	0.050250000999999996	0.01414	0.02052	0.007909999999999999	0.021360001	0.02706	0.056940001	0.00905	0.01026	0
84	0.372999996	0.476599991	0.0152	0.123899996	0.322699994	0.002	0.05519999900000001	0.0131	0.1228	0.0001	0.002	0.069799997	0.0047	0.0056	0
85	0.094250001	0.364080012	0.157969996	0.165020004	0.04309999900000001	0.033879999	0.041420002000000004	0.0031899999999999997	0.01157	0.00285	0.013919999999999998	0.014419999999999999	0.00134	0.009059999999999999	0
86	0.43129000100000003	0.390749991	0.161410004	0.0147	0.38334000100000004	0.0003	0.00114	0.03765	0.00105	0.00205	0.036180001	0.00028	0.040449999	0.00025	0
87	0.412090003	0.43536001399999996	0.091849998	0.0068	0.10757	0.026989999999999997	0.01204	0.02203	0.00021	0.02203	0.007370000000000001	0.0135	0.0018100000000000002	0.00843	0
88	0.538810015	0.191589996	0.084299996	0.00817	0.320259988	0.01089	0.00562	0.00314	0.00193	0.0059700000000000005	0.00586	0.010490000000000001	0.0036200000000000004	0.00405	0
89	0.25556001100000003	0.169410005	0.55400002	0.00246	0.253560007	0.00045999999999999996	0.01176	0.00413	0.0	0.00018	0.00053	0.0005	0.010409999999999999	0.006490000000000001	0
90	0.04507	0.155589998	0.72349	0.071149997	0.036759999	0.00257	0.0008699999999999999	0.00133	0.068790004	0.00787	0.00147	0.00314	0.0046700000000000005	0.01241	0
91	0.181170002	0.45802000200000004	0.291209996	0.00921	0.016880000000000003	0.0272	0.01729	0.11185000099999999	0.00056	0.05229999900000001	0.00307	0.00418	0.00112	0.00126	0
92	0.24086999899999997	0.43345999700000004	0.23345999399999998	0.057229999000000004	0.10046000000000001	0.093290001	0.00632	0.00591	0.039919998	0.0005099999999999999	0.02534	0.115929998	0.00164	0.00758	0
93	0.244139999	0.434130013	0.27985999	0.00698	0.080300003	0.00365	0.031580001	0.033920001	0.0012699999999999999	0.00021	0.00643	0.00698	0.00705	0.014240000000000001	1
94	0.281800002	0.367430001	0.31110000600000004	0.02562	0.246849999	0.013869999999999999	0.01525	0.0035700000000000003	0.011890000000000001	0.00088	0.02014	0.057510000000000006	0.00253	0.01202	1
95	0.076420002	0.21026000399999997	0.631439984	0.049520000999999994	0.032900002000000005	0.025800001	0.0025800000000000003	0.00107	0.018060001000000003	0.008740000000000001	0.058929998	0.01055	0.00137	0.0025800000000000003	1
96	0.247580007	0.6823700070000001	0.026760001000000002	0.042589999999999996	0.235369995	0.00018999999999999998	0.00063	0.0006	0.01545	0.00011999999999999999	0.0018899999999999998	0.044259999	0.008579999999999999	0.054299999	0
97	0.226180002	0.11167000199999999	0.633149981	0.00041	0.125489995	0.07583999599999999	0.0002	0.0002	5.9999999999999995e-05	2e-05	0.00014	0.026210001	0.0033299999999999996	0.006370000000000001	0
98	0.460700005	0.179499999	0.074699998	0.0049	0.44639998700000005	0.0002	0.001	0.0011	0.0013	0.0	0.0001	0.0018	0.0154	0.0068	1
99	0.485029995	0.42050001	0.052030001	0.030959999	0.3486	0.02678	0.031509999	0.00852	0.02837	0.00344	0.01017	0.03802	0.00542	0.00778	1
100	0.00759	0.193800002	0.765089989	0.032880001	0.0051600000000000005	0.00173	0.0002	0.00018	0.032329999	0.150749996	0.01884	0.00358	0.00014	0.0002	1
101	0.073140003	0.387360007	0.01111	0.52719003	0.06943000099999999	0.00015	0.00807	0.00147	0.509299994	0.00237	0.035119999	0.053130000999999996	0.0012699999999999999	0.00987	1
102	0.025590001	0.770889997	0.029820001000000002	0.173299998	0.00969	0.0146	0.0002	0.00015	0.17238	0.6814399959999999	0.01957	0.01266	0.00063	0.00316	1
103	0.420130014	0.063620001	0.385170013	0.00244	0.388220012	4e-05	0.0012	0.012790000000000001	7e-05	4e-05	0.0031100000000000004	0.00231	9e-05	5e-05	1
104	0.6388199929999999	0.301440001	0.050910000000000004	0.00657	0.59928	0.00063	0.031539999	0.00757	0.00533	0.0	0.0019	0.059470002	0.00433	0.02304	0
105	0.37979999200000003	0.577099979	0.012440000000000001	0.023569998999999998	0.357829988	0.00033	0.0243	0.0166	0.0164	0.0002	0.00047000000000000004	0.151260003	0.00343	0.0073	0
SRR413556	0.48862609999999995	0.39733440000000003	0.011762600000000002	0.1022726	0.4793317	0.00019219999999999998	1.25e-05	0.0	0.098019	0.0	0.0056699	0.0358982	0.0	0.047330000000000004	0
SRR413557	0.8511992191391726	0.11272837958574686	0.02299560315657268	0.0030046497149393853	0.605502936230366	0.0	0.010545682318959804	0.0011226174762222758	0.0	0.0	0.0007140019197429034	0.02478150821052194	0.0	0.0019281452794850384	0
SRR413558	0.7300540999999999	0.2477816	0.017808599999999997	0.0042121	0.35729500000000003	0.0	0.0019587000000000003	0.0029925999999999998	0.0027193	0.0	7.8e-06	0.0441328	0.0	0.0015775999999999997	0
SRR413559	0.7623425	0.2198493	0.0168788	0.0007082999999999999	0.5915143	0.00037969999999999996	0.0063973	0.0015027999999999999	6.59e-05	0.0	0.00038150000000000006	0.0369981	0.0	0.0034431	0
SRR413560	0.482682	0.4722186	0.013895200000000002	0.003304	0.4449407	5.92e-05	0.092825	0.0014665	0.0019037000000000001	0.0	0.0022374	0.0954399	0.0	0.0178118	0
SRR413561	0.3602868	0.5749614000000001	0.007417600000000001	0.057274900000000004	0.0731232	0.2581257	0.0164967	0.0014906	0.0276162	0.0114172	0.0002497	0.09695859999999999	0.0	0.0018969	0
SRR413562	0.6015267351035468	0.3566586111808082	0.018804496195824687	0.004010588449834793	0.5460949166836431	0.00010638489383326637	0.04137182405240401	0.0018605151652886637	0.00016669678871197288	0.0	0.0011450106451002993	0.0484343164307807	0.0	0.007979273863092813	0
SRR413563	0.9090974092135989	0.06618316587392253	0.01947707596314214	0.005242240613958255	0.07556035120162893	0.7966083443158323	0.010053739764338054	0.0004609670340861017	0.0017194991222125985	0.004780731902981335	0.0005527270993906676	0.02194993930510438	0.0	0.0005214181751013884	0
SRR413564	0.4922156372446013	0.35287442000115204	0.02827987981261815	0.046923735683293284	0.19953967373753975	0.06293069035091046	0.00023702708230098103	0.01594533966823835	0.03760883225928555	0.0	0.0036955954106258375	0.06657912118546457	0.0	0.028029506158790483	0
SRR413565	0.6081985	0.2462766	0.0486059	0.09682930000000001	0.5747616999999999	8.409999999999998e-05	0.022077100000000002	0.00018690000000000002	0.08274389999999998	0.0	0.0017111	0.0689592	0.0	0.0056687	0
SRR413566	0.860474	0.0758329	0.0600695	0.0021015	0.5038263	0.2792668	0.0015939	0.0015409999999999998	0.0009035	0.0	0.00046919999999999997	0.0060393999999999995	0.0	0.010067	0
SRR413567	0.5107442948277183	0.2308700739605854	0.04028879363697911	0.21493416839208845	0.17552534495055236	0.0032093150216064748	0.0	0.0	0.1337245757311964	0.005669247871923331	0.0012881975051894764	1.1585241053297596e-05	0.0	0.011822027120439556	0
SRR413568	0.8186972009674252	0.07078299543939415	0.10626936055034	0.0009578676639293873	0.17242739386344372	0.5997815524245388	0.009620301096370016	0.00042816613856478677	4.627184791474099e-05	6.708407645281229e-05	0.00036916448096171084	0.020807379086761436	0.0	0.0010040384816085064	0
SRR413569	0.607273	0.3057141	0.0433562	0.0436431	0.44803550000000003	0.0	0.0083487	0.0014065	0.032866	0.00015230000000000002	0.0234796	0.0622732	0.0	0.0022088000000000003	0
SRR413570	0.5413954000000001	0.27772579999999997	0.0970531	0.0042194	0.4509212	0.0	0.0091054	0.0134067	0.0021961999999999997	0.0	0.0	0.0	0.0012389999999999999	0.0010023999999999999	0
SRR413571	0.059763980119583615	0.4029218982498122	0.47923544006163377	0.041404586975219954	0.05975166697899999	1.231314058363085e-05	0.0	0.0	0.04107603634598843	0.009933400925467658	0.005068609219759327	0.0	0.0	0.061768819684367156	0
SRR413572	0.7255503428183385	0.21053271191620843	0.05600331890030895	0.00791362636514413	0.30192006686169337	0.3614756651429512	0.004076777683962615	0.01813826984485431	0.004502825488985083	0.0	0.0002787247466159279	0.022651776759414696	0.0	0.000905502737921449	0
SRR413573	0.09253488802332034	0.8149013235198528	0.009399440991614872	0.08311374670620059	0.09077316159742396	7.820117301759527e-05	0.0	0.0	0.08200833012495187	0.2781574723620854	0.006147892218383275	0.09846297694465415	0.0	0.00015940239103586553	0
SRR413574	0.4158003	0.46260280000000004	0.10590619999999999	0.0067943	0.3497128	0.0	0.047873900000000004	0.0014693	0.00011470000000000001	0.0	0.0742024	0.0955817	0.0	0.011475799999999998	0
SRR413575	0.6104696999999999	0.37125929999999996	0.015647599999999998	0.0026234	0.5239714	8.52e-05	0.011747299999999999	0.0012545	0.001241	1.21e-05	0.0001788	0.1121407	0.0	0.0025016	0
SRR413576	0.679195185929956	0.29246007470420177	0.023644286353058905	0.004700553381185643	0.12474869006689054	0.4604862146508761	0.015974333792184214	0.00029688973376779473	0.003983220410516802	0.0018626368084052516	0.0012802993387227817	0.017382703212140162	0.0	0.006407418429344911	0
SRR413577	0.792691474980921	0.15850885296173964	0.015941101530115732	0.008272671641610434	0.7749462487857909	0.0	0.03885238469978275	0.003918170745598521	0.007540521050004555	0.0	0.008662498578651784	0.0	0.0	0.003959573606536211	0
SRR413578	0.6081215	0.147262	0.197549	0.026617900000000003	0.47049659999999993	0.00022519999999999997	0.0076978	0.008153	0.0165202	0.0	0.001325	0.004643199999999999	0.00018609999999999997	0.005896200000000001	0
